"","c","photoperiod_difference","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function17"," photo_diff temp_diff chinook0_hatchery_perhour_interpolate",1,1,0,0,1,-1082.95608752715,2206.77283079201,20,76,TRUE,0,1,0.358094845720357,0.358094845720357
"function27"," photo_diff temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",1,1,0,1,1,-1082.67712067341,2208.30193365451,21,73,TRUE,1.52910286249426,0.465542712058234,0.16670844565073,0.524803291371087
"function5"," photo_diff temp_diff",1,1,0,0,0,-1084.87443981017,2208.52677112494,19,61,TRUE,1.75394033293014,0.416041540612341,0.148982331298836,0.673785622669923
"function26"," photo_diff temp_diff flow chinook0_hatchery_perhour_interpolate",1,1,1,0,1,-1082.91936526323,2208.78642283416,21,80,TRUE,2.0135920421485,0.365387800946078,0.130843488207886,0.804629110877809
"function16"," photo_diff temp_diff lunar_phase",1,1,0,1,0,-1084.72915138412,2210.31895850594,20,79,TRUE,3.54612771392567,0.169811911572303,0.0608087702759629,0.865437881153772
"function30"," photo_diff temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",1,1,1,1,1,-1082.64530300704,2210.32962038781,22,88,TRUE,3.556789595792,0.16890906295645,0.0604854648401601,0.925923345993932
"function15"," photo_diff temp_diff flow",1,1,1,0,0,-1084.87439391462,2210.60944356694,20,67,TRUE,3.83661277492183,0.146855467896572,0.0525881861196139,0.978511532113546
"function25"," photo_diff temp_diff flow lunar_phase",1,1,1,1,0,-1084.7287593748,2212.4052110573,21,77,TRUE,5.63238026528552,0.0598334665870511,0.0214260559864042,0.99993758809995
"function22"," temp_diff flow chinook0_hatchery_perhour_interpolate",0,1,1,0,1,-1092.47829857648,2225.81725289066,20,70,TRUE,19.0444220986515,7.32076196140844e-05,2.62152712512601e-05,0.999963803371202
"function29"," temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",0,1,1,1,1,-1092.14981451946,2227.24732134661,21,85,TRUE,20.4744905545981,3.58113642671981e-05,1.28238649622978e-05,0.999976627236164
"function11"," temp_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,1,-1094.50896179801,2227.79581510063,19,57,TRUE,21.0229843086158,2.72218076431262e-05,9.74798900819451e-06,0.999986375225172
"function9"," temp_diff flow",0,1,1,0,0,-1095.0573036661,2228.89249883681,19,68,TRUE,22.1196680447983,1.57316803446694e-05,5.63343364594635e-06,0.999992008658818
"function23"," temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",0,1,0,1,1,-1094.21606102121,2229.29277778013,20,64,TRUE,22.5199469881163,1.2878214224609e-05,4.61162213591507e-06,0.999996620280954
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-1094.88495017942,2230.63055609655,20,73,TRUE,23.8577253045364,6.59721708086038e-06,2.3624294327544e-06,0.999998982710387
"function1"," temp_diff",0,1,0,0,0,-1098.14488006678,2232.98914663664,18,52,TRUE,26.2163158446224,2.02861366407349e-06,7.26436097062606e-07,0.999999709146484
"function10"," temp_diff lunar_phase",0,1,0,1,0,-1098.02665972134,2234.83121094729,19,56,TRUE,28.0583801552752,8.07607165761688e-07,2.89199963426087e-07,0.999999998346447
