"","c","temperature","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function17"," temp temp_diff chinook0_hatchery_perhour_interpolate",1,1,0,0,1,-1090.78897150596,2222.43859874963,20,77,TRUE,0,1,0.333769896548493,0.333769896548493
"function26"," temp temp_diff flow chinook0_hatchery_perhour_interpolate",1,1,1,0,1,-1090.34302055605,2223.63373341979,21,71,TRUE,1.19513467016395,0.550148336120185,0.18362295323316,0.517392849781652
"function27"," temp temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",1,1,0,1,1,-1090.60346691831,2224.15462614431,21,81,TRUE,1.71602739468563,0.424003445610724,0.141519586177696,0.658912435959348
"function30"," temp temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",1,1,1,1,1,-1090.12639961442,2225.29181360255,22,90,TRUE,2.85321485292661,0.240122174088784,0.0801455532046125,0.739057989163961
"function22"," temp_diff flow chinook0_hatchery_perhour_interpolate",0,1,1,0,1,-1092.47829857648,2225.81725289066,20,70,TRUE,3.37865414103908,0.184643734408143,0.0616285201317331,0.800686509295694
"function5"," temp temp_diff",1,1,0,0,0,-1093.86054655461,2226.49898461382,19,68,TRUE,4.06038586419481,0.131310184755114,0.043827386781478,0.844513896077172
"function15"," temp temp_diff flow",1,1,1,0,0,-1092.93726146701,2226.73517867173,20,78,TRUE,4.29657992210696,0.116683520630485,0.038945446609751,0.883459342686923
"function29"," temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",0,1,1,1,1,-1092.14981451946,2227.24732134661,21,85,TRUE,4.80872259698572,0.0903231667332293,0.0301471540164822,0.913606496703405
"function11"," temp_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,1,-1094.50896179801,2227.79581510063,19,57,TRUE,5.35721635100344,0.0686586484721588,0.0229161899977118,0.936522686701117
"function16"," temp temp_diff lunar_phase",1,1,0,1,0,-1093.80307697538,2228.46680968846,20,76,TRUE,6.02821093882949,0.0490897281156618,0.0163846734747581,0.952907360175875
"function25"," temp temp_diff flow lunar_phase",1,1,1,1,0,-1092.84343372067,2228.63455974904,21,73,TRUE,6.19596099941009,0.0451402711968655,0.0150664636475487,0.967973823823424
"function9"," temp_diff flow",0,1,1,0,0,-1095.0573036661,2228.89249883681,19,68,TRUE,6.45390008718596,0.0396783316090239,0.0132434326363607,0.981217256459784
"function23"," temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",0,1,0,1,1,-1094.21606102121,2229.29277778013,20,64,TRUE,6.85417903050393,0.0324813397768555,0.0108412934170775,0.992058549876862
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-1094.88495017942,2230.63055609655,20,73,TRUE,8.19195734692403,0.0166394537198815,0.00555374874670828,0.99761229862357
"function1"," temp_diff",0,1,0,0,0,-1098.14488006678,2232.98914663664,18,52,TRUE,10.55054788701,0.00511655486929466,0.00170775198940917,0.999320050612979
